state_code,state_name,year,total_overdose_deaths,all_opioids_deaths,synthetic_opioid_deaths,psychostimulant_deaths,hrsa_clinic_count,synthetic_surge_velocity_pct,polysubstance_crossover_index,clinic_misalignment_score
AK,Alaska,2015,121,NA,NA,NA,172,NA,NA,0.7
AK,Alaska,2016,129,96,NA,53,172,NA,NA,0.75
AK,Alaska,2017,141,100,37,64,172,NA,1.73,0.82
AK,Alaska,2018,105,65,16,49,172,-56.76,3.062,0.61
AK,Alaska,2019,133,83,23,64,172,43.75,2.783,0.77
AK,Alaska,2020,146,102,61,67,172,165.22,1.098,0.85
AK,Alaska,2021,255,198,150,160,172,145.9,1.067,1.48
AK,Alaska,2022,247,185,156,140,172,4,0.897,1.44
AK,Alaska,2023,357,286,270,198,172,73.08,0.733,2.08
AK,Alaska,2024,339,276,255,202,172,-5.56,0.792,1.97
AK,Alaska,2025,331,238,217,209,172,-14.9,0.963,1.92
AL,Alabama,2015,720,NA,NA,NA,185,NA,NA,3.89
AL,Alabama,2016,740,NA,NA,NA,185,NA,NA,4
AL,Alabama,2017,807,NA,NA,NA,185,NA,NA,4.36
AL,Alabama,2018,740,NA,NA,NA,185,NA,NA,4
AL,Alabama,2019,739,NA,NA,NA,185,NA,NA,3.99
AL,Alabama,2020,989,NA,NA,NA,185,NA,NA,5.35
AL,Alabama,2021,1333,NA,NA,NA,185,NA,NA,7.21
AL,Alabama,2022,1452,1076,971,576,185,NA,0.593,7.85
AL,Alabama,2023,1598,1196,1099,605,185,13.18,0.551,8.64
AL,Alabama,2024,1176,797,714,491,185,-35.03,0.688,6.36
AL,Alabama,2025,865,506,431,348,185,-39.64,0.807,4.68
AR,Arkansas,2015,381,NA,NA,NA,140,NA,NA,2.72
AR,Arkansas,2016,386,NA,NA,NA,140,NA,NA,2.76
AR,Arkansas,2017,425,NA,NA,NA,140,NA,NA,3.04
AR,Arkansas,2018,433,NA,NA,NA,140,NA,NA,3.09
AR,Arkansas,2019,362,NA,NA,NA,140,NA,NA,2.59
AR,Arkansas,2020,514,NA,NA,NA,140,NA,NA,3.67
AR,Arkansas,2021,627,NA,NA,NA,140,NA,NA,4.48
AR,Arkansas,2022,591,359,292,246,140,NA,0.842,4.22
AR,Arkansas,2023,517,312,269,206,140,-7.88,0.766,3.69
AR,Arkansas,2024,389,163,125,192,140,-53.53,1.536,2.78
AR,Arkansas,2025,373,160,114,160,140,-8.8,1.404,2.66
AZ,Arizona,2015,1267,NA,NA,NA,240,NA,NA,5.28
AZ,Arizona,2016,1393,NA,NA,NA,240,NA,NA,5.8
AZ,Arizona,2017,1555,936,263,581,240,NA,2.209,6.48
AZ,Arizona,2018,1730,1134,527,612,240,100.38,1.161,7.21
AZ,Arizona,2019,1981,1326,824,765,240,56.36,0.928,8.25
AZ,Arizona,2020,2644,1928,1519,1078,240,84.34,0.71,11.02
AZ,Arizona,2021,2780,2034,1792,1296,240,17.97,0.723,11.58
AZ,Arizona,2022,2737,1965,1776,1401,240,-0.89,0.789,11.4
AZ,Arizona,2023,2720,2009,1836,1447,240,3.38,0.788,11.33
AZ,Arizona,2024,2531,1727,1525,1545,240,-16.94,1.013,10.55
AZ,Arizona,2025,2978,2238,2018,1775,240,32.33,0.88,12.41
CA,California,2015,4762,NA,NA,NA,1420,NA,NA,3.35
CA,California,2016,4755,NA,NA,NA,1420,NA,NA,3.35
CA,California,2017,5028,NA,NA,NA,1420,NA,NA,3.54
CA,California,2018,5494,NA,NA,NA,1420,NA,NA,3.87
CA,California,2019,6363,3324,1727,3001,1420,NA,1.738,4.48
CA,California,2020,9209,5707,4195,4644,1420,142.91,1.107,6.49
CA,California,2021,11398,7538,6411,6096,1420,52.82,0.951,8.03
CA,California,2022,11761,7929,7045,6424,1420,9.89,0.912,8.28
CA,California,2023,12369,8653,7954,6928,1420,12.9,0.871,8.71
CA,California,2024,9687,5929,5265,5685,1420,-33.81,1.08,6.82
CA,California,2025,9017,5329,4632,5251,1420,-12.02,1.134,6.35
CO,Colorado,2015,913,NA,NA,NA,235,NA,NA,3.89
CO,Colorado,2016,965,NA,NA,NA,235,NA,NA,4.11
CO,Colorado,2017,1040,NA,NA,NA,235,NA,NA,4.43
CO,Colorado,2018,1004,568,130,330,235,NA,2.538,4.27
CO,Colorado,2019,1100,644,251,367,235,93.08,1.462,4.68
CO,Colorado,2020,1512,987,586,537,235,133.47,0.916,6.43
CO,Colorado,2021,1917,1300,987,760,235,68.43,0.77,8.16
