state_code,state_name,year,total_overdose_deaths,all_opioids_deaths,psychostimulant_deaths,synthetic_opioid_deaths
AK,Alaska,2015,121,NA,NA,NA
AK,Alaska,2016,129,96,53,NA
AK,Alaska,2017,141,100,64,37
AK,Alaska,2018,105,65,49,16
AK,Alaska,2019,133,83,64,23
AK,Alaska,2020,146,102,67,61
AK,Alaska,2021,255,198,160,150
AK,Alaska,2022,247,185,140,156
AK,Alaska,2023,357,286,198,270
AK,Alaska,2024,339,276,202,255
AK,Alaska,2025,331,238,209,217
AL,Alabama,2015,720,NA,NA,NA
AL,Alabama,2016,740,NA,NA,NA
AL,Alabama,2017,807,NA,NA,NA
AL,Alabama,2018,740,NA,NA,NA
AL,Alabama,2019,739,NA,NA,NA
AL,Alabama,2020,989,NA,NA,NA
AL,Alabama,2021,1333,NA,NA,NA
AL,Alabama,2022,1452,1076,576,971
AL,Alabama,2023,1598,1196,605,1099
AL,Alabama,2024,1176,797,491,714
AL,Alabama,2025,865,506,348,431
AR,Arkansas,2015,381,NA,NA,NA
AR,Arkansas,2016,386,NA,NA,NA
AR,Arkansas,2017,425,NA,NA,NA
AR,Arkansas,2018,433,NA,NA,NA
AR,Arkansas,2019,362,NA,NA,NA
AR,Arkansas,2020,514,NA,NA,NA
AR,Arkansas,2021,627,NA,NA,NA
AR,Arkansas,2022,591,359,246,292
AR,Arkansas,2023,517,312,206,269
AR,Arkansas,2024,389,163,192,125
AR,Arkansas,2025,373,160,160,114
AZ,Arizona,2015,1267,NA,NA,NA
AZ,Arizona,2016,1393,NA,NA,NA
AZ,Arizona,2017,1555,936,581,263
AZ,Arizona,2018,1730,1134,612,527
AZ,Arizona,2019,1981,1326,765,824
AZ,Arizona,2020,2644,1928,1078,1519
AZ,Arizona,2021,2780,2034,1296,1792
AZ,Arizona,2022,2737,1965,1401,1776
AZ,Arizona,2023,2720,2009,1447,1836
AZ,Arizona,2024,2531,1727,1545,1525
AZ,Arizona,2025,2978,2238,1775,2018
CA,California,2015,4762,NA,NA,NA
CA,California,2016,4755,NA,NA,NA
CA,California,2017,5028,NA,NA,NA
CA,California,2018,5494,NA,NA,NA
CA,California,2019,6363,3324,3001,1727
CA,California,2020,9209,5707,4644,4195
CA,California,2021,11398,7538,6096,6411
CA,California,2022,11761,7929,6424,7045
CA,California,2023,12369,8653,6928,7954
CA,California,2024,9687,5929,5685,5265
CA,California,2025,9017,5329,5251,4632
CO,Colorado,2015,913,NA,NA,NA
CO,Colorado,2016,965,NA,NA,NA
CO,Colorado,2017,1040,NA,NA,NA
CO,Colorado,2018,1004,568,330,130
CO,Colorado,2019,1100,644,367,251
CO,Colorado,2020,1512,987,537,586
CO,Colorado,2021,1917,1300,760,987
CO,Colorado,2022,1856,1207,728,992
CO,Colorado,2023,1926,1348,846,1184
CO,Colorado,2024,1640,1016,815,817
CO,Colorado,2025,1817,1223,877,1043
CT,Connecticut,2015,799,686,23,214
CT,Connecticut,2016,974,869,22,508
CT,Connecticut,2017,1080,967,39,696
CT,Connecticut,2018,1070,957,66,779
CT,Connecticut,2019,1231,1119,69,974
CT,Connecticut,2020,1385,1258,91,1150
CT,Connecticut,2021,1562,1411,92,1303
CT,Connecticut,2022,1476,1345,77,1253
CT,Connecticut,2023,1330,1202,81,1121
CT,Connecticut,2024,998,858,66,766
CT,Connecticut,2025,854,682,59,584
DC,District of Columbia,2015,144,112,NA,28
DC,District of Columbia,2016,300,230,NA,147
